"Intersections","Degree","Observed.Overlap","Expected.Overlap","FE","P.value","Elements"
"DownReg",1,122,NA,NA,NA,"ACER2, ACTA2, AGAP9, AP3B2, ARC, ARRDC3, BBC3, BCL6, BCORL1, BMF, BTG2, C22orf23, CAMSAP3, CCNG2, CCR1, CD27-AS1, CDKN1A, CDR2L, CDYL2, CLU, CRISPLD2, CSRNP1, DOK4, EDA2R, EGFR, ENC1, ENSG00000257497, ENSG00000260912, ENSG00000263823, ENSG00000273151, ENSG00000275807, ENSG00000278948, ENSG00000279145, ENSG00000279207, ENSG00000279520, ENSG00000279965, ENSG00000288559, EPHA2, EPHB3, FAM117A, FAM135B, FDXR, FOXC2, FSCN1, GADD45A, GDF15, H2AC6, H2BC11, H2BC19P, H2BC21, H2BC4, H2BC5, HBEGF, HELZ2, HTR2C, IER5, IFIT2, IFITM10, INKA2, IQCN, JAG2, KANK3, KCNC3, KDM3A, KLF4, LBH, LRATD1, LTB4R, MAFA, MDM2, MIR210HG, MRNIP, NOTCH1, NPTX2, OSR2, PGF, PLCXD2, PLXNB2, PNRC1, POLH, PPFIA4, PPM1D, PRDM1, PTCHD4, PTGER4, PURPL, RGS2, RINL, RND1, SBK1, SERTAD1, SESN1, SESN2, SLC2A3, SLC30A1, SLC30A3, SMOX, SMTN, SNAI1, SNORD3A, SOCS1, SPTBN5, SSPOP, SYN1, TCAF2, TENT5C, TET1, TGFA, TNFSF4, TNFSF9, TP53INP1, TRANK1, TRIM22, VAMP1, VASN, VWA5B2, WNT9A, XIRP1, ZBTB47-AS1, ZNF211, ZNF436, ZSWIM4"
"UpReg",1,101,NA,NA,NA,"ARHGEF39, ARID1B, ASPM, ATAD5, AURKA, BAHCC1, BMPR1B, BUB1B, CCDC171, CCNA2, CCNE2, CD63-AS1, CDC20, CDC25A, CDC6, CDCA7, CHML, CLSPN, CXCL1, DEPDC1, DISC1, DLGAP1, DLGAP5, DTL, E2F1, E2F2, EFNA5, ENOX1, ENSG00000229195, ENSG00000232411, ENSG00000236013, ENSG00000248538, ENSG00000256663, ENSG00000260267, ENSG00000268858, ENSG00000276672, ENSG00000277283, ENSG00000277559, FAM111B, FGF13, FRMD4B, GADL1, GALNT3, GINS1, GINS2, HPDL, KCNH1, KCNQ5, KIF14, KIF18A, KIF20A, KIF23, LARGE1, LINC00235, LINC01013, LINC01711, LINC02099, LMNB1, MCM10, MCM6, MIF4GD-DT, MIR3142HG, MITF, MMACHC, MMS22L, MOB3B, MPPED2, MYB, NAV2, NAV2-AS6, NAV3, NCKAP5, NEIL3, OLA1P1, PARTICL, PCLAF, PKNOX2, PLEKHA7, PLK1, PLK4, POLE2, PRIM1, RBL1, SCFD2, SOX5, SOX6, STAG1, STK32B, TICRR, TMEM117, TMPO-AS1, TMPRSS13, TRPM1, UHRF1, USP46-DT, WDR76, WEE1, XRCC2, ZEB2, ZNF367, ZNF407"
"UpReg & DownReg",2,0,0.200364239487463,0,1,""
